11,通州
46,万宁市
44,万江
35,三明市
41,三门峡市
31,上海
33,上海
36,上饶
36,东山
44,东涌
44,东莞市
37,东营市
33,丽水
53,个旧市
54,中
44,中山
11,丰台
53,临安
35,临江
14,临汾
33,临海
33,义乌
21,丹东市
35,丹洲
32,丹阳
65,乌鲁木齐
51,乐山
36,乐洞
33,乐清
36,九江市
51,九龙
43,云南
44,云浮
44,五指山
34,亳州
35,仙友
33,仙居
13,任丘市
23,伊春
34,休宁县
41,会昌
33,余姚
44,佛山市
23,佳木斯市
51,依乌
43,保安
13,保定市
44,信宜
41,偃师城关镇
65,克拉玛依
45,全州
62,兰州
51,兴业
52,兴义
33,内孟
51,内江市
32,凓城
14,凤城
34,凤阳府城镇
34,前山
33,前蒋
53,勐卯
15,包头市
11,北京
33,北仑
44,北津
45,北海市
50,北碚
42,十堰
35,十方
53,升平
32,南京
51,南充
45,南宁
41,南干道
12,南开
36,南昌
45,南桶石
44,南街
32,南进
32,南通
41,南阳市
37,南麻镇
45,博白
45,卡凤
37,即墨市
35,厦门市
35,双城
35,双溪
23,双鸭山市
50,古南
42,古城城关镇
35,古镛
34,合肥
35,吉华
22,吉林市
44,吴川
35,吴苏
41,周口市
32,周山
33,周山
15,呼和浩特市
61,咸阳
65,哈密地区
23,哈尔滨
43,响滩
13,唐县
41,商丘市
65,喀什
33,嘉兴
42,园林
42,城中
61,城关镇
41,城郊
35,城阳
43,塘渡口
14,大同市
32,大周
44,大布
23,大庆
44,大沙
43,大洲
51,大渡口
32,大港
53,大理市
21,大连
33,大顺
33,天台
12,天津
34,天长
14,太原
23,太和
33,奉化市
65,奎屯
37,奎聚
54,奴日
37,威海
35,宁德市
33,宁波
53,宁洱
33,宁海
34,安庆市
61,安康
23,安达
41,安阳市
52,安顺市
62,定西
32,宜城
51,宜宾
53,宜政
42,宜昌市
34,宿州市
36,寺里
34,寿春
41,将官池
35,小干
45,小江
35,小溪
23,尚志
54,岗堆
32,峨嵋山
33,嵊州市
41,嵩阳
34,巢湖市
51,巴州
32,常州市
43,常德
62,平凉
35,平川
11,平谷
41,平顶山市
51,广元市
51,广安
44,广州
32,广西
65,库尔勒
13,廊坊市
65,延安北路
41,延津城关镇
41,开封市
53,开远
32,张安村
13,张家口市
62,张掖
44,径门
32,徐州
37,德州市
51,德阳市
14,忻州
11,怀柔
44,思城
42,恩施
44,惠州市
51,成都
42,房县城关镇
11,房山
54,打惹
32,扬州市
36,抚州市
21,抚顺市
54,拉萨
33,招宝山
44,揭阳市
53,文山
32,新一大队
44,新会
21,新兴
43,新华
41,新华路
62,新宁
43,新晃
41,新集
32,无锡
37,日照
35,昆山
53,昆明
11,昌平
14,昭余
53,昭通市
35,晋江
13,景州
36,景德镇市
53,景洪市
53,曲靖市
21,本溪市
45,来宾市
61,杨陵
33,杭州
54,松多
33,松源
37,枣庄市
33,柯桥区
45,柳州
43,株洲
45,桂平
45,桂林市
35,桃城
43,桃源
33,梅城
43,梅洲
45,梧州市
33,梧桐
61,榆林
45,横州
33,武义
62,武威
42,武汉
52,毕节
22,民主
35,永安
50,永川
43,永州
50,江津市
44,江门市
34,池州
32,汤山
21,沈阳
13,沧州市
13,河北
44,河源市
43,河背
35,泉州市
32,泰州市
51,泸州
61,洋洲
41,洛阳市
43,洞阳市
37,济南
37,济宁市
41,浚县城关镇
33,浦阳
46,海口市
15,海拉尔区
23,海林
11,海淀
37,淄博
34,淮北
32,淮安市
44,深圳市
14,清源
44,清远
33,温岭
33,温州市
61,渭南
36,湖陂
44,湛江市
34,滁州
37,滨州市
41,漯河
35,漳州市
37,潍坊市
35,潭城
44,潮州市
32,澄江
53,澧江
41,濮阳城关镇
51,灌口
41,灵宝城关镇
37,烟台市
41,焦作市
41,煤山
23,牡丹江
32,玉山
45,玉林市
53,玉溪市
33,玉环
44,珠海市
46,琼海市
33,瑞安
44,甜水
34,界首
37,登州
22,白城
43,白牙市
62,白银
45,百城
32,盐城
44,石岐街道
65,石河子市
35,石狮
34,碧阳
35,福州市
44,福田
35,福鼎
13,秦皇岛
23,穆棱
14,箕城
43,娄底市
41,索河
41,紫荆路
61,纪阳
33,绍兴市
23,绥化
51,绵阳
14,署益村
14,羊泉
42,老河口
52,者讲
37,聊城
44,肇庆市
51,自贡市
34,芜湖
41,花洲
43,芷江
35,苏前
32,苏州
44,茂名
44,荔城
37,莱芜市
13,获鹿
37,菏泽
21,葫芦岛
61,虢镇镇
34,蚌埠
13,衡水市
43,衡阳市
33,衢州市
42,襄樊
32,西场
13,西城
63,西宁
61,西安
41,覃杯
14,解店
37,诸城市
33,诸暨
44,象岗
33,象溪
45,贵港市
52,贵阳
36,赣州
15,赤峰
33,路桥
43,辰阳
21,辽阳市
51,达州
32,连云港
53,迤萨
45,逐盎
15,通辽市
44,遂溪县
52,遵义市
13,邢台市
13,邯郸市
35,邵武
41,郑州
43,郴州
15,鄂尔多斯市
50,重庆
33,金华
14,金城
35,金水
46,金江
43,金石
33,金钟
45,钦州市
61,铜川
34,铜陵
64,银川
21,锦州市
32,镇江
33,长兴县
22,长春
44,长沙
43,长沙市
51,阆中
21,阜新市
34,阜阳市
44,阳江市
37,陵城
33,陶山
51,雁江
51,雅安
51,雒城
41,青屏
37,青岛市
37,青年
51,青㭎林
14,青羊
21,鞍山市
44,韶关市
43,韶山
44,顺德区
41,颍川
41,驻马店市
44,高州
32,高邮
23,鸡西市
41,鹤壁市
23,鹤岗
36,鹰潭市
34,黄山
34,黄岗
33,黄岩
43,黄石
23,黑河市
23,齐齐哈尔市
35,龙岩
44,龙江
33,龙洲
37,龙港
